Parameter,,,,
Table Analyzed,Total Cycle Time inv,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
  Interaction,39.69,< 0.0001,,
  Model,2.71,< 0.0001,,
  Parameters,39.91,< 0.0001,,
,,,,
Source of Variation,P value summary,Significant?,,
  Interaction,***,Yes,,
  Model,***,Yes,,
  Parameters,***,Yes,,
,,,,
Source of Variation,Df,Sum-of-squares,Mean square,F
  Interaction,14,130.4,9.317,392.5
  Model,1,8.900,8.900,374.9
  Parameters,14,131.2,9.368,394.6
  Residual,2450,58.16,0.02374,
,,,,
Number of missing values,2320,,,
,,,,
Bonferroni posttests,,,,
,,,,
TB vs Yan,,,,
Parameters,TB,Yan,Difference,95% CI of diff.
  eL=-55.0 gnaps=1.8,3.730,3.728,-0.001982,-0.07356 to 0.06959
  eL=-55.0 gnaps=2.4,3.731,3.725,-0.005829,-0.07740 to 0.06575
  eL=-55.0 gnaps=3.0,3.724,3.719,-0.004860,-0.07643 to 0.06671
  eL=-55.0 gnaps=3.6,3.720,3.716,-0.003935,-0.07551 to 0.06764
  eL=-55.0 gnaps=4.2,3.717,3.713,-0.003393,-0.07497 to 0.06818
  eL=-60.0 gnaps=1.8,3.729,3.729,-0.0001919,-0.07177 to 0.07138
  eL=-60.0 gnaps=2.4,3.728,3.726,-0.002159,-0.07373 to 0.06942
  eL=-60.0 gnaps=3.0,3.724,3.720,-0.004170,-0.07574 to 0.06740
  eL=-60.0 gnaps=3.6,3.723,3.720,-0.003517,-0.07509 to 0.06806
  eL=-60.0 gnaps=4.2,1.870,3.721,1.851,1.789 to 1.913
  eL=-65.0 gnaps=1.8,3.729,3.729,-0.00001597,-0.07159 to 0.07156
  eL=-65.0 gnaps=2.4,3.729,3.729,-0.0001001,-0.07167 to 0.07147
  eL=-65.0 gnaps=3.0,3.729,3.728,-0.0006769,-0.07225 to 0.07090
  eL=-65.0 gnaps=3.6,3.728,3.725,-0.002876,-0.07445 to 0.06870
  eL=-65.0 gnaps=4.2,3.727,3.721,-0.005382,-0.07696 to 0.06619
,,,,
,,,,
,,,,
Parameters,Difference,t,P value,Summary
  eL=-55.0 gnaps=1.8,-0.001982,0.08136,P > 0.05,ns
  eL=-55.0 gnaps=2.4,-0.005829,0.2393,P > 0.05,ns
  eL=-55.0 gnaps=3.0,-0.004860,0.1995,P > 0.05,ns
  eL=-55.0 gnaps=3.6,-0.003935,0.1615,P > 0.05,ns
  eL=-55.0 gnaps=4.2,-0.003393,0.1393,P > 0.05,ns
  eL=-60.0 gnaps=1.8,-0.0001919,0.007879,P > 0.05,ns
  eL=-60.0 gnaps=2.4,-0.002159,0.08862,P > 0.05,ns
  eL=-60.0 gnaps=3.0,-0.004170,0.1712,P > 0.05,ns
  eL=-60.0 gnaps=3.6,-0.003517,0.1444,P > 0.05,ns
  eL=-60.0 gnaps=4.2,1.851,87.72,P<0.001,***
  eL=-65.0 gnaps=1.8,-0.00001597,0.0006557,P > 0.05,ns
  eL=-65.0 gnaps=2.4,-0.0001001,0.004111,P > 0.05,ns
  eL=-65.0 gnaps=3.0,-0.0006769,0.02779,P > 0.05,ns
  eL=-65.0 gnaps=3.6,-0.002876,0.1181,P > 0.05,ns
  eL=-65.0 gnaps=4.2,-0.005382,0.2209,P > 0.05,ns
